Id,Signatory,Order,Action_Id,Sector,Language
54419,City and Metropolitan Municipality of Strasbourg,4,4,"Sewerage, wastewater management and remediation activities",en
54419,City and Metropolitan Municipality of Strasbourg,4,4,Agriculture,en
54419,City and Metropolitan Municipality of Strasbourg,4,4,Transportation and storage,en
54419,City and Metropolitan Municipality of Strasbourg,4,4,"Public administration and defence, compulsory social security",en
54419,City and Metropolitan Municipality of Strasbourg,5,5,Human health and social work activities,en
36469,City of L'Aquila,5,5,Waste management,en
36469,City of L'Aquila,5,5,Water supply,en
36469,City of L'Aquila,5,5,Conservation,en
54419,City and Metropolitan Municipality of Strasbourg,7,7,Education,en
36247,City of Arezzo,1,1,Waste management,en
36247,City of Arezzo,3,3,"Sewerage, wastewater management and remediation activities",en
36247,City of Arezzo,3,3,Agriculture,en
36247,City of Arezzo,3,3,"Public administration and defence, compulsory social security",en
36469,City of L'Aquila,3,3,Water supply,en
36469,City of L'Aquila,3,3,Forestry,en
36469,City of L'Aquila,3,3,Conservation,en
36469,City of L'Aquila,4,4,Construction,en
36469,City of L'Aquila,4,4,Forestry,en
36247,City of Arezzo,4,4,"Sewerage, wastewater management and remediation activities",en
36247,City of Arezzo,4,4,Information and communication,en
36247,City of Arezzo,4,4,Human health and social work activities,en
36247,City of Arezzo,4,4,"Public administration and defence, compulsory social security",en
834069,City of Graz,2,2,Construction,en
834069,City of Graz,2,2,Administrative and support service activities,en
834069,City of Graz,2,2,Agriculture,en
834069,City of Graz,2,2,Human health and social work activities,en
834069,City of Graz,2,2,Real estate activities,en
834069,City of Graz,2,2,Water supply,en
834069,City of Graz,2,2,Forestry,en
834069,City of Graz,2,2,Accommodation and food service activities,en
834069,City of Graz,2,2,"Public administration and defence, compulsory social security",en
73193,State of Styria,1,1,Forestry,en
834069,City of Graz,3,3,"Sewerage, wastewater management and remediation activities",en
834069,City of Graz,3,3,Construction,en
834069,City of Graz,3,3,Administrative and support service activities,en
834069,City of Graz,3,3,Real estate activities,en
834069,City of Graz,3,3,Water supply,en
834069,City of Graz,3,3,"Public administration and defence, compulsory social security",en
834069,City of Graz,4,4,Real estate activities,en
834069,City of Graz,4,4,Accommodation and food service activities,en
36469,City of L'Aquila,2,2,Information and communication,en
36469,City of L'Aquila,2,2,Human health and social work activities,en
36469,City of L'Aquila,2,2,"Public administration and defence, compulsory social security",en
36159,City of Lisbon,1,1,"Other, please specify",en
36159,City of Lisbon,1,1,Human health and social work activities,en
36159,City of Lisbon,2,2,"Other, please specify",en
36159,City of Lisbon,3,3,"Other, please specify",en
36159,City of Lisbon,3,3,Water supply,en
36159,City of Lisbon,4,4,"Sewerage, wastewater management and remediation activities",en
36159,City of Lisbon,4,4,Water supply,en
36159,City of Lisbon,5,5,Human health and social work activities,en
36159,City of Lisbon,6,6,Water supply,en
36159,City of Lisbon,6,6,Forestry,en
36159,City of Lisbon,7,7,"Sewerage, wastewater management and remediation activities",en
36159,City of Lisbon,7,7,Education,en
36159,City of Lisbon,7,7,Human health and social work activities,en
36159,City of Lisbon,7,7,Water supply,en
36159,City of Lisbon,7,7,Forestry,en
36159,City of Lisbon,8,8,"Sewerage, wastewater management and remediation activities",en
36159,City of Lisbon,8,8,Construction,en
36159,City of Lisbon,9,9,Information and communication,en
36159,City of Lisbon,9,9,Administrative and support service activities,en
36159,City of Lisbon,9,9,Human health and social work activities,en
73193,State of Styria,6,6,Agriculture,en
73193,State of Styria,6,6,Water supply,en
36159,City of Lisbon,10,10,Administrative and support service activities,en
36159,City of Lisbon,10,10,"Other, please specify",en
36159,City of Lisbon,10,10,Education,en
36159,City of Lisbon,10,10,Human health and social work activities,en
36159,City of Lisbon,10,10,"Professional, scientific and technical activities",en
36159,City of Lisbon,11,11,Forestry,en
36159,City of Lisbon,12,12,"Professional, scientific and technical activities",en
36159,City of Lisbon,13,13,Human health and social work activities,en
36159,City of Lisbon,14,14,"Other, please specify",en
36159,City of Lisbon,15,15,Information and communication,en
36159,City of Lisbon,15,15,"Professional, scientific and technical activities",en
43940,City of Malmö,1,1,"Arts, entertainment and recreation",en
43940,City of Malmö,1,1,Conservation,en
43940,City of Malmö,1,1,"Public administration and defence, compulsory social security",en
43940,City of Malmö,3,3,"Sewerage, wastewater management and remediation activities",en
43940,City of Malmö,3,3,Construction,en
43940,City of Malmö,3,3,"Arts, entertainment and recreation",en
43940,City of Malmö,3,3,"Public administration and defence, compulsory social security",en
43940,City of Malmö,4,4,Construction,en
43940,City of Malmö,4,4,Agriculture,en
43940,City of Malmö,4,4,Human health and social work activities,en
43940,City of Malmö,4,4,"Arts, entertainment and recreation",en
43940,City of Malmö,5,5,Real estate activities,en
43940,City of Malmö,5,5,"Arts, entertainment and recreation",en
43940,City of Malmö,5,5,Conservation,en
43940,City of Malmö,5,5,"Public administration and defence, compulsory social security",en
43940,City of Malmö,6,6,Human health and social work activities,en
43940,City of Malmö,7,7,Construction,en
43940,City of Malmö,7,7,Education,en
43940,City of Malmö,7,7,Waste management,en
43940,City of Malmö,7,7,Real estate activities,en
43940,City of Malmö,7,7,Transportation and storage,en
43940,City of Malmö,7,7,"Arts, entertainment and recreation",en
43940,City of Malmö,7,7,"Electricity, gas, steam and air conditioning supply",en
43940,City of Malmö,7,7,Fishing,en
43940,City of Malmö,9,9,"Sewerage, wastewater management and remediation activities",en
43940,City of Malmö,9,9,Financial and insurance activities,en
43940,City of Malmö,9,9,Real estate activities,en
43940,City of Malmö,10,10,Construction,en
43940,City of Malmö,10,10,Real estate activities,en
43940,City of Malmö,10,10,"Public administration and defence, compulsory social security",en
43940,City of Malmö,11,11,Information and communication,en
43940,City of Malmö,11,11,Administrative and support service activities,en
43940,City of Malmö,11,11,Human health and social work activities,en
31175,City of Paris,1,1,"Other, please specify",en
31175,City of Paris,1,1,Human health and social work activities,en
31175,City of Paris,3,3,"Other, please specify",en
31175,City of Paris,3,3,Agriculture,en
31175,City of Paris,3,3,Forestry,en
31175,City of Paris,4,4,Construction,en
31175,City of Paris,4,4,Administrative and support service activities,en
31175,City of Paris,4,4,Real estate activities,en
31175,City of Paris,4,4,"Professional, scientific and technical activities",en
73193,State of Styria,2,2,Conservation,en
31175,City of Paris,5,5,"Sewerage, wastewater management and remediation activities",en
31175,City of Paris,5,5,Human health and social work activities,en
31175,City of Paris,5,5,Water supply,en
31175,City of Paris,9,9,Water supply,en
31175,City of Paris,9,9,Forestry,en
31175,City of Paris,9,9,Conservation,en
31175,City of Paris,6,6,Construction,en
31175,City of Paris,6,6,Human health and social work activities,en
31175,City of Paris,7,7,Information and communication,en
31175,City of Paris,7,7,"Other, please specify",en
31175,City of Paris,7,7,Water supply,en
31175,City of Paris,7,7,Accommodation and food service activities,en
31175,City of Paris,7,7,"Public administration and defence, compulsory social security",en
73193,State of Styria,8,8,Education,en
31175,City of Paris,8,8,Construction,en
31175,City of Paris,8,8,"Other, please specify",en
31175,City of Paris,10,10,"Sewerage, wastewater management and remediation activities",en
31175,City of Paris,10,10,Administrative and support service activities,en
31175,City of Paris,10,10,"Other, please specify",en
31175,City of Paris,11,11,"Sewerage, wastewater management and remediation activities",en
31175,City of Paris,11,11,Construction,en
31175,City of Paris,11,11,"Other, please specify",en
31175,City of Paris,12,12,"Other, please specify",en
31175,City of Paris,12,12,Water supply,en
31175,City of Paris,13,13,Construction,en
31175,City of Paris,13,13,"Other, please specify",en
31175,City of Paris,14,14,Construction,en
31175,City of Paris,14,14,"Other, please specify",en
31175,City of Paris,14,14,Water supply,en
54408,Aarhus Municipality,1,1,"Sewerage, wastewater management and remediation activities",en
54408,Aarhus Municipality,1,1,Forestry,en
72923,Autonomous Community of Andalusia,1,1,Agriculture,en
72923,Autonomous Community of Andalusia,2,2,Administrative and support service activities,en
72923,Autonomous Community of Andalusia,2,2,Real estate activities,en
72923,Autonomous Community of Andalusia,2,2,Accommodation and food service activities,en
72923,Autonomous Community of Andalusia,3,3,"Public administration and defence, compulsory social security",en
72923,Autonomous Community of Andalusia,4,4,"Sewerage, wastewater management and remediation activities",en
72923,Autonomous Community of Andalusia,4,4,"Other, please specify",en
72923,Autonomous Community of Andalusia,4,4,Agriculture,en
72923,Autonomous Community of Andalusia,4,4,Water supply,en
72923,Autonomous Community of Andalusia,4,4,Forestry,en
72923,Autonomous Community of Andalusia,4,4,Conservation,en
72923,Autonomous Community of Andalusia,5,5,"Other, please specify",en
72923,Autonomous Community of Andalusia,6,6,Agriculture,en
72923,Autonomous Community of Andalusia,6,6,Forestry,en
72923,Autonomous Community of Andalusia,7,7,"Other, please specify",en
72923,Autonomous Community of Andalusia,7,7,Agriculture,en
72923,Autonomous Community of Andalusia,7,7,Forestry,en
72923,Autonomous Community of Andalusia,8,8,Human health and social work activities,en
72923,Autonomous Community of Andalusia,9,9,Conservation,en
72923,Autonomous Community of Andalusia,10,10,Forestry,en
72923,Autonomous Community of Andalusia,10,10,Conservation,en
72923,Autonomous Community of Andalusia,11,11,Administrative and support service activities,en
72923,Autonomous Community of Andalusia,12,12,Construction,en
72923,Autonomous Community of Andalusia,12,12,"Other, please specify",en
72923,Autonomous Community of Andalusia,12,12,Transportation and storage,en
72923,Autonomous Community of Andalusia,13,13,Agriculture,en
72923,Autonomous Community of Andalusia,13,13,Forestry,en
72923,Autonomous Community of Andalusia,14,14,"Public administration and defence, compulsory social security",en
72927,Autonomous Community of Catalonia,2,2,Information and communication,en
72927,Autonomous Community of Catalonia,2,2,Administrative and support service activities,en
72927,Autonomous Community of Catalonia,2,2,Education,en
72927,Autonomous Community of Catalonia,2,2,Agriculture,en
72927,Autonomous Community of Catalonia,2,2,"Professional, scientific and technical activities",en
72927,Autonomous Community of Catalonia,2,2,Water supply,en
72927,Autonomous Community of Catalonia,2,2,Forestry,en
72927,Autonomous Community of Catalonia,2,2,Conservation,en
72927,Autonomous Community of Catalonia,3,3,Agriculture,en
72927,Autonomous Community of Catalonia,3,3,Forestry,en
72927,Autonomous Community of Catalonia,4,4,Financial and insurance activities,en
72927,Autonomous Community of Catalonia,4,4,"Other, please specify",en
72927,Autonomous Community of Catalonia,4,4,Education,en
72927,Autonomous Community of Catalonia,4,4,Agriculture,en
72927,Autonomous Community of Catalonia,4,4,"Professional, scientific and technical activities",en
72927,Autonomous Community of Catalonia,4,4,Water supply,en
72927,Autonomous Community of Catalonia,4,4,Forestry,en
72927,Autonomous Community of Catalonia,4,4,"Electricity, gas, steam and air conditioning supply",en
72927,Autonomous Community of Catalonia,4,4,Conservation,en
72927,Autonomous Community of Catalonia,4,4,Fishing,en
72927,Autonomous Community of Catalonia,5,5,Forestry,en
72927,Autonomous Community of Catalonia,5,5,"Public administration and defence, compulsory social security",en
72927,Autonomous Community of Catalonia,5,5,Conservation,en
72927,Autonomous Community of Catalonia,6,6,"Other, please specify",en
72927,Autonomous Community of Catalonia,6,6,Agriculture,en
72927,Autonomous Community of Catalonia,7,7,"Other, please specify",en
72927,Autonomous Community of Catalonia,7,7,Conservation,en
72927,Autonomous Community of Catalonia,8,8,Education,en
72927,Autonomous Community of Catalonia,8,8,"Professional, scientific and technical activities",en
72927,Autonomous Community of Catalonia,8,8,Conservation,en
72927,Autonomous Community of Catalonia,8,8,Fishing,en
72927,Autonomous Community of Catalonia,9,9,Human health and social work activities,en
72927,Autonomous Community of Catalonia,9,9,Forestry,en
72927,Autonomous Community of Catalonia,9,9,Conservation,en
72927,Autonomous Community of Catalonia,9,9,"Public administration and defence, compulsory social security",en
826431,Municipality of Loulé,43,43,"Sewerage, wastewater management and remediation activities",en
826431,Municipality of Loulé,43,43,Water supply,en
73193,State of Styria,4,4,Human health and social work activities,en
72927,Autonomous Community of Catalonia,10,10,"Sewerage, wastewater management and remediation activities",en
72927,Autonomous Community of Catalonia,10,10,Mining and quarrying,en
72927,Autonomous Community of Catalonia,10,10,Water supply,en
72927,Autonomous Community of Catalonia,10,10,"Electricity, gas, steam and air conditioning supply",en
72927,Autonomous Community of Catalonia,10,10,Forestry,en
72927,Autonomous Community of Catalonia,10,10,Manufacturing,en
72927,Autonomous Community of Catalonia,10,10,Fishing,en
72920,Autonomous Community of Galicia,1,1,"Sewerage, wastewater management and remediation activities",en
72920,Autonomous Community of Galicia,1,1,Water supply,en
72920,Autonomous Community of Galicia,2,2,Waste management,en
72920,Autonomous Community of Galicia,2,2,Agriculture,en
72920,Autonomous Community of Galicia,2,2,Forestry,en
54510,Umeå Municipality,2,2,Human health and social work activities,en
72920,Autonomous Community of Galicia,3,3,Construction,en
72920,Autonomous Community of Galicia,3,3,Water supply,en
72920,Autonomous Community of Galicia,3,3,"Electricity, gas, steam and air conditioning supply",en
72920,Autonomous Community of Galicia,3,3,Conservation,en
72920,Autonomous Community of Galicia,3,3,"Public administration and defence, compulsory social security",en
72920,Autonomous Community of Galicia,3,3,Fishing,en
72920,Autonomous Community of Galicia,4,4,Agriculture,en
72920,Autonomous Community of Galicia,4,4,Forestry,en
72920,Autonomous Community of Galicia,4,4,Conservation,en
72920,Autonomous Community of Galicia,5,5,"Sewerage, wastewater management and remediation activities",en
72920,Autonomous Community of Galicia,5,5,Waste management,en
72920,Autonomous Community of Galicia,5,5,Agriculture,en
72920,Autonomous Community of Galicia,5,5,Water supply,en
72920,Autonomous Community of Galicia,5,5,Forestry,en
72920,Autonomous Community of Galicia,5,5,Fishing,en
72920,Autonomous Community of Galicia,6,6,Forestry,en
72924,Autonomous Community of Navarre,1,1,"Other, please specify",en
72926,Autonomous Community of the Basque Country,1,1,"Other, please specify",en
72926,Autonomous Community of the Basque Country,2,2,"Other, please specify",en
72926,Autonomous Community of the Basque Country,4,4,"Other, please specify",en
72926,Autonomous Community of the Basque Country,5,5,Mining and quarrying,en
72926,Autonomous Community of the Basque Country,5,5,Financial and insurance activities,en
72926,Autonomous Community of the Basque Country,5,5,Administrative and support service activities,en
72926,Autonomous Community of the Basque Country,5,5,Education,en
72926,Autonomous Community of the Basque Country,5,5,Agriculture,en
72926,Autonomous Community of the Basque Country,5,5,"Wholesale and retail trade, repair of motor vehicles and motorcycles",en
72926,Autonomous Community of the Basque Country,5,5,Transportation and storage,en
72926,Autonomous Community of the Basque Country,5,5,Real estate activities,en
72926,Autonomous Community of the Basque Country,5,5,"Arts, entertainment and recreation",en
72926,Autonomous Community of the Basque Country,5,5,Water supply,en
72926,Autonomous Community of the Basque Country,5,5,Forestry,en
72926,Autonomous Community of the Basque Country,5,5,Accommodation and food service activities,en
72926,Autonomous Community of the Basque Country,5,5,"Public administration and defence, compulsory social security",en
72926,Autonomous Community of the Basque Country,5,5,Manufacturing,en
72926,Autonomous Community of the Basque Country,5,5,"Sewerage, wastewater management and remediation activities",en
72926,Autonomous Community of the Basque Country,5,5,Construction,en
72926,Autonomous Community of the Basque Country,5,5,Information and communication,en
72926,Autonomous Community of the Basque Country,5,5,Waste management,en
72926,Autonomous Community of the Basque Country,5,5,Human health and social work activities,en
72926,Autonomous Community of the Basque Country,5,5,"Professional, scientific and technical activities",en
72926,Autonomous Community of the Basque Country,5,5,"Electricity, gas, steam and air conditioning supply",en
72926,Autonomous Community of the Basque Country,5,5,Conservation,en
72926,Autonomous Community of the Basque Country,5,5,Fishing,en
72926,Autonomous Community of the Basque Country,6,6,"Other, please specify",en
72926,Autonomous Community of the Basque Country,7,7,Forestry,en
72926,Autonomous Community of the Basque Country,7,7,Conservation,en
72926,Autonomous Community of the Basque Country,8,8,"Other, please specify",en
72926,Autonomous Community of the Basque Country,9,9,Financial and insurance activities,en
72926,Autonomous Community of the Basque Country,9,9,Administrative and support service activities,en
72926,Autonomous Community of the Basque Country,9,9,Education,en
72926,Autonomous Community of the Basque Country,9,9,Agriculture,en
72926,Autonomous Community of the Basque Country,9,9,Real estate activities,en
72926,Autonomous Community of the Basque Country,9,9,Transportation and storage,en
72926,Autonomous Community of the Basque Country,9,9,"Arts, entertainment and recreation",en
72926,Autonomous Community of the Basque Country,9,9,Water supply,en
72926,Autonomous Community of the Basque Country,9,9,Forestry,en
72926,Autonomous Community of the Basque Country,9,9,Accommodation and food service activities,en
72926,Autonomous Community of the Basque Country,9,9,Manufacturing,en
72926,Autonomous Community of the Basque Country,9,9,"Public administration and defence, compulsory social security",en
72926,Autonomous Community of the Basque Country,9,9,"Sewerage, wastewater management and remediation activities",en
72926,Autonomous Community of the Basque Country,9,9,Construction,en
72926,Autonomous Community of the Basque Country,9,9,Information and communication,en
72926,Autonomous Community of the Basque Country,9,9,Waste management,en
72926,Autonomous Community of the Basque Country,9,9,Human health and social work activities,en
72926,Autonomous Community of the Basque Country,9,9,"Professional, scientific and technical activities",en
72926,Autonomous Community of the Basque Country,9,9,"Electricity, gas, steam and air conditioning supply",en
72926,Autonomous Community of the Basque Country,9,9,Conservation,en
72926,Autonomous Community of the Basque Country,9,9,Fishing,en
72926,Autonomous Community of the Basque Country,10,10,"Other, please specify",en
72926,Autonomous Community of the Basque Country,10,10,Conservation,en
73075,Brittany Region,1,1,"Sewerage, wastewater management and remediation activities",en
73075,Brittany Region,1,1,Construction,en
73075,Brittany Region,1,1,Administrative and support service activities,en
73075,Brittany Region,1,1,Education,en
73075,Brittany Region,1,1,Agriculture,en
73075,Brittany Region,1,1,Human health and social work activities,en
73075,Brittany Region,1,1,Water supply,en
73075,Brittany Region,1,1,Forestry,en
73075,Brittany Region,1,1,"Electricity, gas, steam and air conditioning supply",en
73075,Brittany Region,1,1,Accommodation and food service activities,en
73075,Brittany Region,1,1,Conservation,en
73075,Brittany Region,1,1,"Public administration and defence, compulsory social security",en
73075,Brittany Region,1,1,Fishing,en
44076,Bursa Metropolitan Municipality,2,2,"Electricity, gas, steam and air conditioning supply",en
44076,Bursa Metropolitan Municipality,3,3,"Sewerage, wastewater management and remediation activities",en
44076,Bursa Metropolitan Municipality,3,3,Water supply,en
44076,Bursa Metropolitan Municipality,3,3,"Electricity, gas, steam and air conditioning supply",en
44076,Bursa Metropolitan Municipality,4,4,Human health and social work activities,en
54419,City and Metropolitan Municipality of Strasbourg,2,2,Human health and social work activities,en
54419,City and Metropolitan Municipality of Strasbourg,3,3,Education,en
54419,City and Metropolitan Municipality of Strasbourg,3,3,Agriculture,en
54419,City and Metropolitan Municipality of Strasbourg,3,3,Water supply,en
54419,City and Metropolitan Municipality of Strasbourg,3,3,Accommodation and food service activities,en
31175,City of Paris,16,16,"Sewerage, wastewater management and remediation activities",en
31175,City of Paris,16,16,Construction,en
31175,City of Paris,16,16,Waste management,en
31175,City of Paris,16,16,Human health and social work activities,en
31175,City of Paris,16,16,Transportation and storage,en
31175,City of Paris,16,16,Water supply,en
31175,City of Paris,16,16,"Electricity, gas, steam and air conditioning supply",en
31175,City of Paris,17,17,Education,en
31175,City of Paris,17,17,"Other, please specify",en
31175,City of Paris,18,18,Construction,en
31175,City of Paris,18,18,"Other, please specify",en
31175,City of Paris,18,18,Real estate activities,en
31175,City of Paris,18,18,"Electricity, gas, steam and air conditioning supply",en
31175,City of Paris,19,19,Construction,en
31175,City of Paris,19,19,Administrative and support service activities,en
31175,City of Paris,19,19,"Other, please specify",en
31175,City of Paris,19,19,Agriculture,en
31175,City of Paris,19,19,Real estate activities,en
31175,City of Paris,20,20,"Sewerage, wastewater management and remediation activities",en
31175,City of Paris,20,20,Construction,en
31175,City of Paris,20,20,"Other, please specify",en
31175,City of Paris,20,20,Water supply,en
31175,City of Paris,21,21,"Other, please specify",en
31175,City of Paris,21,21,Transportation and storage,en
31175,City of Paris,21,21,"Electricity, gas, steam and air conditioning supply",en
31175,City of Paris,22,22,"Other, please specify",en
