Id,Language,Signatory,Climate_Action_Plan_Id,Sector
55334,en,Municipality of Braga,1,"Sewerage, wastewater management and remediation activities"
55334,en,Municipality of Braga,1,Construction
55334,en,Municipality of Braga,1,Information and communication
55334,en,Municipality of Braga,1,Financial and insurance activities
55334,en,Municipality of Braga,1,Waste management
55334,en,Municipality of Braga,1,Agriculture
55334,en,Municipality of Braga,1,Human health and social work activities
55334,en,Municipality of Braga,1,Transportation and storage
55334,en,Municipality of Braga,1,Water supply
55334,en,Municipality of Braga,1,"Electricity, gas, steam and air conditioning supply"
55334,en,Municipality of Braga,1,Manufacturing
55334,en,Municipality of Braga,1,Conservation
55334,en,Municipality of Braga,1,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,2,Information and communication
50680,en,Municipality of Cascais,2,Education
50680,en,Municipality of Cascais,2,Waste management
50680,en,Municipality of Cascais,2,Agriculture
50680,en,Municipality of Cascais,2,"Other, please specify"
50680,en,Municipality of Cascais,2,Transportation and storage
50680,en,Municipality of Cascais,2,"Electricity, gas, steam and air conditioning supply"
50680,en,Municipality of Cascais,2,Forestry
50680,en,Municipality of Cascais,2,Accommodation and food service activities
50680,en,Municipality of Cascais,2,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,3,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,3,Construction
50680,en,Municipality of Cascais,3,Agriculture
50680,en,Municipality of Cascais,3,Human health and social work activities
50680,en,Municipality of Cascais,3,Real estate activities
50680,en,Municipality of Cascais,3,Transportation and storage
50680,en,Municipality of Cascais,3,"Professional, scientific and technical activities"
50680,en,Municipality of Cascais,3,Water supply
50680,en,Municipality of Cascais,3,Forestry
50680,en,Municipality of Cascais,3,Conservation
50680,en,Municipality of Cascais,3,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,3,Fishing
50680,en,Municipality of Cascais,4,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,4,Information and communication
50680,en,Municipality of Cascais,4,Education
50680,en,Municipality of Cascais,4,Agriculture
50680,en,Municipality of Cascais,4,Human health and social work activities
50680,en,Municipality of Cascais,4,Water supply
50680,en,Municipality of Cascais,4,Forestry
50680,en,Municipality of Cascais,4,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,4,Conservation
50680,en,Municipality of Cascais,5,"Sewerage, wastewater management and remediation activities"
50680,en,Municipality of Cascais,5,Information and communication
50680,en,Municipality of Cascais,5,Waste management
50680,en,Municipality of Cascais,5,Education
50680,en,Municipality of Cascais,5,"Other, please specify"
50680,en,Municipality of Cascais,5,Transportation and storage
50680,en,Municipality of Cascais,5,"Electricity, gas, steam and air conditioning supply"
50680,en,Municipality of Cascais,5,"Public administration and defence, compulsory social security"
826429,en,Municipality of Figueira da Foz,1,Information and communication
826429,en,Municipality of Figueira da Foz,1,"Other, please specify"
826429,en,Municipality of Figueira da Foz,1,Agriculture
826429,en,Municipality of Figueira da Foz,1,Waste management
826429,en,Municipality of Figueira da Foz,1,Transportation and storage
826429,en,Municipality of Figueira da Foz,1,Forestry
826429,en,Municipality of Figueira da Foz,2,Information and communication
826429,en,Municipality of Figueira da Foz,2,"Other, please specify"
826429,en,Municipality of Figueira da Foz,2,Agriculture
826429,en,Municipality of Figueira da Foz,2,Human health and social work activities
826429,en,Municipality of Figueira da Foz,2,Forestry
826429,en,Municipality of Figueira da Foz,2,Fishing
55324,en,Municipality of Guimarães,1,Mining and quarrying
55324,en,Municipality of Guimarães,1,Financial and insurance activities
55324,en,Municipality of Guimarães,1,Administrative and support service activities
55324,en,Municipality of Guimarães,1,Education
55324,en,Municipality of Guimarães,1,Agriculture
55324,en,Municipality of Guimarães,1,"Wholesale and retail trade, repair of motor vehicles and motorcycles"
55324,en,Municipality of Guimarães,1,Transportation and storage
55324,en,Municipality of Guimarães,1,Real estate activities
55324,en,Municipality of Guimarães,1,"Arts, entertainment and recreation"
55324,en,Municipality of Guimarães,1,Water supply
55324,en,Municipality of Guimarães,1,Forestry
55324,en,Municipality of Guimarães,1,Accommodation and food service activities
55324,en,Municipality of Guimarães,1,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,1,Manufacturing
55324,en,Municipality of Guimarães,1,"Sewerage, wastewater management and remediation activities"
55324,en,Municipality of Guimarães,1,Construction
55324,en,Municipality of Guimarães,1,Information and communication
55324,en,Municipality of Guimarães,1,Waste management
55324,en,Municipality of Guimarães,1,Human health and social work activities
55324,en,Municipality of Guimarães,1,"Professional, scientific and technical activities"
55324,en,Municipality of Guimarães,1,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,1,Conservation
55324,en,Municipality of Guimarães,1,Fishing
55324,en,Municipality of Guimarães,2,Construction
55324,en,Municipality of Guimarães,2,"Other, please specify"
55324,en,Municipality of Guimarães,2,Agriculture
55324,en,Municipality of Guimarães,2,Water supply
55324,en,Municipality of Guimarães,2,Forestry
55324,en,Municipality of Guimarães,2,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,2,Fishing
55324,en,Municipality of Guimarães,3,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,3,"Sewerage, wastewater management and remediation activities"
55324,en,Municipality of Guimarães,3,Construction
55324,en,Municipality of Guimarães,3,Information and communication
55324,en,Municipality of Guimarães,3,Education
55324,en,Municipality of Guimarães,3,Waste management
55324,en,Municipality of Guimarães,3,Agriculture
55324,en,Municipality of Guimarães,3,Water supply
55324,en,Municipality of Guimarães,3,Forestry
55324,en,Municipality of Guimarães,3,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,3,Manufacturing
55324,en,Municipality of Guimarães,3,Conservation
55324,en,Municipality of Guimarães,3,Fishing
55324,en,Municipality of Guimarães,4,Information and communication
55324,en,Municipality of Guimarães,4,"Other, please specify"
55324,en,Municipality of Guimarães,4,Agriculture
55324,en,Municipality of Guimarães,4,Human health and social work activities
55324,en,Municipality of Guimarães,4,Real estate activities
55324,en,Municipality of Guimarães,4,Water supply
55324,en,Municipality of Guimarães,4,Forestry
55324,en,Municipality of Guimarães,6,Construction
55324,en,Municipality of Guimarães,6,Information and communication
55324,en,Municipality of Guimarães,6,Education
55324,en,Municipality of Guimarães,6,Agriculture
55324,en,Municipality of Guimarães,6,Water supply
55324,en,Municipality of Guimarães,6,"Electricity, gas, steam and air conditioning supply"
55324,en,Municipality of Guimarães,6,Forestry
55324,en,Municipality of Guimarães,6,"Public administration and defence, compulsory social security"
55324,en,Municipality of Guimarães,6,Conservation
55324,en,Municipality of Guimarães,6,Manufacturing
826431,en,Municipality of Loulé,1,Financial and insurance activities
826431,en,Municipality of Loulé,1,Administrative and support service activities
826431,en,Municipality of Loulé,1,Education
826431,en,Municipality of Loulé,1,Agriculture
826431,en,Municipality of Loulé,1,Transportation and storage
826431,en,Municipality of Loulé,1,Real estate activities
826431,en,Municipality of Loulé,1,"Arts, entertainment and recreation"
826431,en,Municipality of Loulé,1,Water supply
826431,en,Municipality of Loulé,1,Forestry
826431,en,Municipality of Loulé,1,Accommodation and food service activities
826431,en,Municipality of Loulé,1,"Public administration and defence, compulsory social security"
826431,en,Municipality of Loulé,1,Manufacturing
826431,en,Municipality of Loulé,1,"Sewerage, wastewater management and remediation activities"
826431,en,Municipality of Loulé,1,Construction
826431,en,Municipality of Loulé,1,Information and communication
826431,en,Municipality of Loulé,1,Waste management
826431,en,Municipality of Loulé,1,"Other, please specify"
826431,en,Municipality of Loulé,1,Human health and social work activities
826431,en,Municipality of Loulé,1,"Professional, scientific and technical activities"
826431,en,Municipality of Loulé,1,"Electricity, gas, steam and air conditioning supply"
826431,en,Municipality of Loulé,1,Conservation
826431,en,Municipality of Loulé,1,Fishing
826431,en,Municipality of Loulé,4,Financial and insurance activities
826431,en,Municipality of Loulé,4,Administrative and support service activities
826431,en,Municipality of Loulé,4,Education
826431,en,Municipality of Loulé,4,Agriculture
826431,en,Municipality of Loulé,4,Real estate activities
826431,en,Municipality of Loulé,4,Transportation and storage
826431,en,Municipality of Loulé,4,"Arts, entertainment and recreation"
826431,en,Municipality of Loulé,4,Water supply
826431,en,Municipality of Loulé,4,Forestry
826431,en,Municipality of Loulé,4,Accommodation and food service activities
826431,en,Municipality of Loulé,4,"Public administration and defence, compulsory social security"
826431,en,Municipality of Loulé,4,"Sewerage, wastewater management and remediation activities"
826431,en,Municipality of Loulé,4,Construction
826431,en,Municipality of Loulé,4,Information and communication
826431,en,Municipality of Loulé,4,"Other, please specify"
826431,en,Municipality of Loulé,4,Waste management
826431,en,Municipality of Loulé,4,Human health and social work activities
826431,en,Municipality of Loulé,4,"Professional, scientific and technical activities"
826431,en,Municipality of Loulé,4,"Electricity, gas, steam and air conditioning supply"
826431,en,Municipality of Loulé,4,Conservation
50669,en,Municipality of Matosinhos,1,Administrative and support service activities
50669,en,Municipality of Matosinhos,1,Education
50669,en,Municipality of Matosinhos,1,Agriculture
50669,en,Municipality of Matosinhos,1,"Wholesale and retail trade, repair of motor vehicles and motorcycles"
50669,en,Municipality of Matosinhos,1,Transportation and storage
50669,en,Municipality of Matosinhos,1,Water supply
50669,en,Municipality of Matosinhos,1,Forestry
50669,en,Municipality of Matosinhos,1,"Sewerage, wastewater management and remediation activities"
50669,en,Municipality of Matosinhos,1,Construction
50669,en,Municipality of Matosinhos,1,Waste management
50669,en,Municipality of Matosinhos,1,Human health and social work activities
50669,en,Municipality of Matosinhos,1,"Professional, scientific and technical activities"
50669,en,Municipality of Matosinhos,1,"Electricity, gas, steam and air conditioning supply"
50669,en,Municipality of Matosinhos,1,Conservation
50669,en,Municipality of Matosinhos,2,Financial and insurance activities
50669,en,Municipality of Matosinhos,2,Administrative and support service activities
50669,en,Municipality of Matosinhos,2,Education
50669,en,Municipality of Matosinhos,2,Agriculture
50669,en,Municipality of Matosinhos,2,Transportation and storage
50669,en,Municipality of Matosinhos,2,Water supply
50669,en,Municipality of Matosinhos,2,Manufacturing
50669,en,Municipality of Matosinhos,2,"Public administration and defence, compulsory social security"
50669,en,Municipality of Matosinhos,2,"Sewerage, wastewater management and remediation activities"
50669,en,Municipality of Matosinhos,2,Construction
50669,en,Municipality of Matosinhos,2,Information and communication
50669,en,Municipality of Matosinhos,2,Waste management
50669,en,Municipality of Matosinhos,2,Human health and social work activities
50669,en,Municipality of Matosinhos,2,"Professional, scientific and technical activities"
50669,en,Municipality of Matosinhos,2,"Electricity, gas, steam and air conditioning supply"
50669,en,Municipality of Matosinhos,2,Conservation
54498,en,Municipality of Murcia,1,"Sewerage, wastewater management and remediation activities"
54498,en,Municipality of Murcia,1,Information and communication
54498,en,Municipality of Murcia,1,Waste management
54498,en,Municipality of Murcia,1,"Other, please specify"
54498,en,Municipality of Murcia,1,Transportation and storage
54498,en,Municipality of Murcia,1,Water supply
54498,en,Municipality of Murcia,1,"Electricity, gas, steam and air conditioning supply"
54498,en,Municipality of Murcia,1,Manufacturing
54498,en,Municipality of Murcia,2,"Other, please specify"
54498,en,Municipality of Murcia,2,Agriculture
54498,en,Municipality of Murcia,2,Human health and social work activities
54498,en,Municipality of Murcia,2,Forestry
31179,en,Municipality of Rotterdam,1,"Sewerage, wastewater management and remediation activities"
31179,en,Municipality of Rotterdam,1,Construction
31179,en,Municipality of Rotterdam,1,Waste management
31179,en,Municipality of Rotterdam,1,Transportation and storage
31179,en,Municipality of Rotterdam,1,Water supply
31179,en,Municipality of Rotterdam,1,"Electricity, gas, steam and air conditioning supply"
31179,en,Municipality of Rotterdam,3,"Sewerage, wastewater management and remediation activities"
31179,en,Municipality of Rotterdam,3,Waste management
31179,en,Municipality of Rotterdam,3,Water supply
826396,en,Municipality of Sintra,1,Mining and quarrying
826396,en,Municipality of Sintra,1,Financial and insurance activities
826396,en,Municipality of Sintra,1,Administrative and support service activities
826396,en,Municipality of Sintra,1,Education
826396,en,Municipality of Sintra,1,Agriculture
826396,en,Municipality of Sintra,1,"Wholesale and retail trade, repair of motor vehicles and motorcycles"
826396,en,Municipality of Sintra,1,Real estate activities
826396,en,Municipality of Sintra,1,Transportation and storage
826396,en,Municipality of Sintra,1,"Arts, entertainment and recreation"
826396,en,Municipality of Sintra,1,Water supply
826396,en,Municipality of Sintra,1,Forestry
826396,en,Municipality of Sintra,1,Accommodation and food service activities
826396,en,Municipality of Sintra,1,Manufacturing
826396,en,Municipality of Sintra,1,"Public administration and defence, compulsory social security"
826396,en,Municipality of Sintra,1,"Sewerage, wastewater management and remediation activities"
826396,en,Municipality of Sintra,1,Construction
826396,en,Municipality of Sintra,1,Information and communication
826396,en,Municipality of Sintra,1,Waste management
826396,en,Municipality of Sintra,1,Human health and social work activities
826396,en,Municipality of Sintra,1,"Professional, scientific and technical activities"
826396,en,Municipality of Sintra,1,Conservation
826396,en,Municipality of Sintra,1,Fishing
19233,en,Municipality of Torres Vedras,1,Financial and insurance activities
19233,en,Municipality of Torres Vedras,1,Administrative and support service activities
19233,en,Municipality of Torres Vedras,1,Education
19233,en,Municipality of Torres Vedras,1,Agriculture
19233,en,Municipality of Torres Vedras,1,Transportation and storage
19233,en,Municipality of Torres Vedras,1,Water supply
19233,en,Municipality of Torres Vedras,1,Forestry
19233,en,Municipality of Torres Vedras,1,Accommodation and food service activities
19233,en,Municipality of Torres Vedras,1,"Public administration and defence, compulsory social security"
19233,en,Municipality of Torres Vedras,1,Manufacturing
19233,en,Municipality of Torres Vedras,1,"Sewerage, wastewater management and remediation activities"
19233,en,Municipality of Torres Vedras,1,Information and communication
19233,en,Municipality of Torres Vedras,1,Waste management
19233,en,Municipality of Torres Vedras,1,Human health and social work activities
19233,en,Municipality of Torres Vedras,1,"Professional, scientific and technical activities"
19233,en,Municipality of Torres Vedras,1,"Electricity, gas, steam and air conditioning supply"
19233,en,Municipality of Torres Vedras,1,Conservation
826427,en,Municipality of Valongo,1,"Sewerage, wastewater management and remediation activities"
826427,en,Municipality of Valongo,1,Waste management
826427,en,Municipality of Valongo,1,Agriculture
826427,en,Municipality of Valongo,1,Human health and social work activities
826427,en,Municipality of Valongo,1,Transportation and storage
826427,en,Municipality of Valongo,1,Water supply
826427,en,Municipality of Valongo,1,Conservation
826427,en,Municipality of Valongo,2,"Sewerage, wastewater management and remediation activities"
826427,en,Municipality of Valongo,2,Agriculture
826427,en,Municipality of Valongo,2,Human health and social work activities
826427,en,Municipality of Valongo,2,Transportation and storage
826427,en,Municipality of Valongo,2,Water supply
826427,en,Municipality of Valongo,2,Conservation
46470,en,Municipality of Vitoria-Gasteiz,1,"Sewerage, wastewater management and remediation activities"
46470,en,Municipality of Vitoria-Gasteiz,1,Information and communication
46470,en,Municipality of Vitoria-Gasteiz,1,Administrative and support service activities
46470,en,Municipality of Vitoria-Gasteiz,1,Waste management
46470,en,Municipality of Vitoria-Gasteiz,1,Agriculture
46470,en,Municipality of Vitoria-Gasteiz,1,Transportation and storage
46470,en,Municipality of Vitoria-Gasteiz,1,Water supply
46470,en,Municipality of Vitoria-Gasteiz,1,Forestry
50678,en,Municipality of Évora,1,"Sewerage, wastewater management and remediation activities"
50678,en,Municipality of Évora,1,Agriculture
50678,en,Municipality of Évora,1,Water supply
50678,en,Municipality of Évora,1,Forestry
50678,en,Municipality of Évora,1,Conservation
2025003,en,Province of Granada,1,"Other, please specify"
2025003,en,Province of Granada,1,Agriculture
2025003,en,Province of Granada,1,Human health and social work activities
2025003,en,Province of Granada,1,Water supply
2025003,en,Province of Granada,1,Forestry
2025003,en,Province of Granada,1,Accommodation and food service activities
2025003,en,Province of Granada,1,Conservation
2025001,en,Province of Las Palmas de Gran Canaria,1,Administrative and support service activities
2025001,en,Province of Las Palmas de Gran Canaria,1,Education
2025001,en,Province of Las Palmas de Gran Canaria,1,Agriculture
2025001,en,Province of Las Palmas de Gran Canaria,1,Transportation and storage
2025001,en,Province of Las Palmas de Gran Canaria,1,Real estate activities
2025001,en,Province of Las Palmas de Gran Canaria,1,"Arts, entertainment and recreation"
2025001,en,Province of Las Palmas de Gran Canaria,1,Water supply
2025001,en,Province of Las Palmas de Gran Canaria,1,Forestry
2025001,en,Province of Las Palmas de Gran Canaria,1,Accommodation and food service activities
2025001,en,Province of Las Palmas de Gran Canaria,1,"Public administration and defence, compulsory social security"
2025001,en,Province of Las Palmas de Gran Canaria,1,"Sewerage, wastewater management and remediation activities"
2025001,en,Province of Las Palmas de Gran Canaria,1,Construction
2025001,en,Province of Las Palmas de Gran Canaria,1,Information and communication
2025001,en,Province of Las Palmas de Gran Canaria,1,Waste management
2025001,en,Province of Las Palmas de Gran Canaria,1,Human health and social work activities
2025001,en,Province of Las Palmas de Gran Canaria,1,"Professional, scientific and technical activities"
2025001,en,Province of Las Palmas de Gran Canaria,1,"Electricity, gas, steam and air conditioning supply"
2025001,en,Province of Las Palmas de Gran Canaria,1,Conservation
2025001,en,Province of Las Palmas de Gran Canaria,1,Fishing
73193,en,State of Styria,1,Construction
73193,en,State of Styria,1,Information and communication
73193,en,State of Styria,1,Administrative and support service activities
73193,en,State of Styria,1,Education
73193,en,State of Styria,1,Agriculture
73193,en,State of Styria,1,Waste management
73193,en,State of Styria,1,Human health and social work activities
73193,en,State of Styria,1,Transportation and storage
73193,en,State of Styria,1,Forestry
73193,en,State of Styria,1,"Electricity, gas, steam and air conditioning supply"
73193,en,State of Styria,1,"Public administration and defence, compulsory social security"
73193,en,State of Styria,2,Construction
73193,en,State of Styria,2,Information and communication
73193,en,State of Styria,2,Administrative and support service activities
73193,en,State of Styria,2,Waste management
73193,en,State of Styria,2,Education
73193,en,State of Styria,2,Agriculture
73193,en,State of Styria,2,Human health and social work activities
73193,en,State of Styria,2,Transportation and storage
73193,en,State of Styria,2,"Electricity, gas, steam and air conditioning supply"
73193,en,State of Styria,2,Forestry
73193,en,State of Styria,2,"Public administration and defence, compulsory social security"
54510,en,Umeå Municipality,3,"Sewerage, wastewater management and remediation activities"
54510,en,Umeå Municipality,3,Construction
54510,en,Umeå Municipality,3,Information and communication
54510,en,Umeå Municipality,3,Agriculture
54510,en,Umeå Municipality,3,Real estate activities
54510,en,Umeå Municipality,3,Transportation and storage
54510,en,Umeå Municipality,3,Water supply
54510,en,Umeå Municipality,3,Forestry
54510,en,Umeå Municipality,3,"Electricity, gas, steam and air conditioning supply"
54510,en,Umeå Municipality,4,"Sewerage, wastewater management and remediation activities"
54510,en,Umeå Municipality,4,Construction
54510,en,Umeå Municipality,4,Information and communication
54510,en,Umeå Municipality,4,Administrative and support service activities
54510,en,Umeå Municipality,4,Waste management
54510,en,Umeå Municipality,4,Human health and social work activities
54510,en,Umeå Municipality,4,Transportation and storage
54510,en,Umeå Municipality,4,Water supply
54510,en,Umeå Municipality,4,Forestry
54510,en,Umeå Municipality,4,"Electricity, gas, steam and air conditioning supply"
54510,en,Umeå Municipality,4,"Public administration and defence, compulsory social security"
54510,en,Umeå Municipality,5,Transportation and storage
74673,en,İzmir Metropolitan Municipality,1,"Sewerage, wastewater management and remediation activities"
74673,en,İzmir Metropolitan Municipality,1,Waste management
74673,en,İzmir Metropolitan Municipality,1,Agriculture
74673,en,İzmir Metropolitan Municipality,1,"Other, please specify"
74673,en,İzmir Metropolitan Municipality,1,Transportation and storage
74673,en,İzmir Metropolitan Municipality,1,"Electricity, gas, steam and air conditioning supply"
74673,en,İzmir Metropolitan Municipality,2,"Other, please specify"
